Tour_ID,country,continent,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
tour_idjoxaae9n,United Kingdom,Europe,18-24,Alone,0,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,14,Yes,Higher Cost
tour_id6cyqodr0,France,Europe,45-64,Spouse and Children,2,1,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,17,9,No,Higher Cost
tour_idrca24ss1,Spain,Europe,45-64,Spouse and Children,3,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,Yes,12,6,No,Higher Cost
tour_idt6ovjq4s,France,Europe,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,No,No,Yes,Yes,Yes,7,8,Yes,Higher Cost
tour_id6hi6ek6b,Denmark,Africa,45-64,Alone,0,1,Leisure and Holidays,Bird Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,14,0,No,High Cost
tour_id44b51m56,Belgium,Europe,45-64,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,8,0,No,Normal Cost
tour_idsiu7jryp,Zambia,Africa,25-44,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,No,Normal Cost
tour_idwvpz02dh,Netherlands,Europe,25-44,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,5,0,Yes,Normal Cost
tour_idl43q6fm0,Canada,North America,45-64,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,No,No,17,0,Yes,Higher Cost
tour_idzq2bnpfg,United Kingdom,Europe,25-44,Alone,0,1,Business,Diving and Sport Fishing,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,20,0,Yes,High Cost
tour_idt5xz7ayd,India,Asia,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,3,0,Yes,Normal Cost
tour_id5l7inuif,Norway,Europe,25-44,Alone,1,0,Scientific and Academic,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,18,2,Yes,Low Cost
tour_id32l9u6oz,United States of America,North America,65+,Alone,1,0,Scientific and Academic,Hunting Tourism,Others,Independent Tour,No,No,No,No,No,No,No,15,0,No,Low Cost
tour_idtpwhctag,United Kingdom,Europe,45-64,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,Normal Cost
tour_idf0b1l18p,Zimbabwe,Africa,45-64,Alone,0,1,Business,Wildlife Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idcsmdtoyl,Morroco,Africa,25-44,Friends/Relatives,1,1,Leisure and Holidays,Diving and Sport Fishing,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,8,0,Yes,High Cost
tour_iddva3tl0q,China,Asia,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idcfo1cj0l,Zimbabwe,Africa,45-64,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,5,0,No,Lower Cost
tour_idtybbzu4b,Italy,Europe,18-24,Spouse,1,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,0,5,Yes,Low Cost
tour_id4qn2lwio,Canada,North America,45-64,Friends/Relatives,2,2,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,8,2,No,Normal Cost
tour_idfghnzmw4,United States of America,North America,25-44,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,No,Yes,No,6,5,Yes,Higher Cost
tour_idcsw6hf8z,Germany,Europe,18-24,Friends/Relatives,2,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,20,5,Yes,High Cost
tour_ido8rps8aj,Germany,Europe,45-64,Friends/Relatives,4,8,Meetings and Conference,Beach Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,No,No,12,3,No,Highest Cost
tour_idw1x9lhy7,United Kingdom,Europe,45-64,Alone,0,1,Meetings and Conference,Beach Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,5,0,No,Normal Cost
tour_id733qlpkf,China,Asia,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,5,5,Yes,High Cost
tour_id5ymgmwpp,South Africa,Africa,45-64,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,Yes,Yes,No,No,17,0,Yes,Higher Cost
tour_idfne9w9qc,United States of America,North America,25-44,Alone,0,1,Business,Diving and Sport Fishing,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,7,3,Yes,High Cost
tour_idbct8vzzi,South Africa,Africa,18-24,Spouse,1,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,5,Yes,Normal Cost
tour_id9ent34f9,Zambia,Africa,45-64,Alone,0,1,Business,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_idfv3yg9u5,United Kingdom,Europe,25-44,Friends/Relatives,2,2,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,No,Yes,7,6,No,Higher Cost
tour_ida2wycv92,Zambia,Africa,25-44,Alone,0,1,Business,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_id7jkn9lg7,Australia,Australia,45-64,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,11,5,Yes,Higher Cost
tour_idzpd48w1q,United Kingdom,Europe,18-24,Alone,0,1,Business,Bird Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,1,0,No,Lower Cost
tour_idqb0v4p5l,United States of America,North America,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,Yes,No,6,0,Yes,Normal Cost
tour_id21wftbzm,Germany,Europe,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Package Tour,No,Yes,No,No,No,No,No,15,5,Yes,High Cost
tour_idvu5x5xue,Japan,Asia,18-24,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,29,0,Yes,Normal Cost
tour_id9ddgpd84,Zimbabwe,Africa,25-44,Alone,0,1,Business,Mountain Climbing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,No,Lower Cost
tour_idv99r4uze,Uae,Asia,25-44,With children,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,0,No,Highest Cost
tour_idghkgao6v,Russia,Asia,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,60,7,Yes,Normal Cost
tour_idqu6wcsnb,United States of America,North America,45-64,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10,0,No,High Cost
tour_ide02olqyl,United States of America,North America,65+,Spouse,1,1,Visiting Friends and Relatives,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,77,0,Yes,Normal Cost
tour_idlxsda4sc,United Kingdom,Europe,18-24,Friends/Relatives,2,0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,No,Normal Cost
tour_id7fydz45s,United Kingdom,Europe,25-44,Spouse and Children,2,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,Yes,Higher Cost
tour_id14f1pvfs,Switzerland,Europe,45-64,Alone,1,0,Visiting Friends and Relatives,Beach Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,27,0,Yes,Normal Cost
tour_idy25vb5pz,Germany,Europe,25-44,Alone,0,1,Business,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,1,0,No,Normal Cost
tour_idt2agxtdk,United Kingdom,Europe,25-44,Alone,1,0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,15,2,Yes,Low Cost
tour_idgzzgzdi0,United States of America,North America,65+,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,0,No,Higher Cost
tour_idnlx1sc9e,Kenya,Africa,18-24,Alone,1,0,Business,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,3,1,No,Normal Cost
tour_idjx6xtq4i,United States of America,North America,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost
tour_idxbxk8ogr,Zimbabwe,Africa,45-64,Alone,0,1,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,5,0,No,Low Cost
tour_iduygeog7r,Greece,Europe,45-64,Friends/Relatives,0,2,Volunteering,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idyhqiraum,United Kingdom,Europe,45-64,Spouse and Children,2,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,0,Yes,Normal Cost
tour_idmba8iatr,Poland,Europe,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,28,0,Yes,Normal Cost
tour_idlbrc1np9,Italy,Europe,25-44,Spouse and Children,2,2,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,No,Yes,Yes,No,10,10,Yes,Higher Cost
tour_idmfm40912,Zambia,Africa,45-64,Spouse,1,1,Business,Business,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,2,0,No,Normal Cost
tour_idyhgfisit,Austria,Europe,45-64,Friends/Relatives,4,1,Visiting Friends and Relatives,Mountain Climbing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,24,0,No,Normal Cost
tour_idwakp7jt2,South Africa,Africa,25-44,Friends/Relatives,1,2,Leisure and Holidays,Bird Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,6,0,No,Lower Cost
tour_idnt8qkx6g,Malaysia,Asia,25-44,Alone,0,1,Meetings and Conference,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_idil22wm4f,Australia,Australia,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,18,0,Yes,Higher Cost
tour_id9kh7f3o1,France,Europe,25-44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,11,Yes,Normal Cost
tour_idsl4d9fcj,Belgium,Europe,45-64,With children,1,2,Leisure and Holidays,Conference Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,4,Yes,Higher Cost
tour_id8ih2x3ss,Malaysia,Asia,45-64,Friends/Relatives,1,2,Business,Diving and Sport Fishing,Others,Package Tour,No,Yes,Yes,Yes,Yes,No,No,3,15,No,High Cost
tour_id2mii9wqu,Czech Republic,Europe,25-44,Friends/Relatives,2,2,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,9,6,Yes,Higher Cost
tour_iduodqgcpk,Italy,Europe,25-44,Friends/Relatives,1,1,Business,Diving and Sport Fishing,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
tour_idsq92sbk6,United States of America,North America,45-64,Alone,1,0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,No,High Cost
tour_idzk0ezoi0,Germany,Europe,25-44,Friends/Relatives,3,0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,9,12,No,Higher Cost
tour_id2gju2kmq,United States of America,North America,65+,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,9,0,Yes,Higher Cost
tour_id75463vej,Australia,Australia,45-64,With children,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,5,Yes,Higher Cost
tour_id0b9a1bor,United Kingdom,Europe,65+,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,11,0,Yes,Higher Cost
tour_idb2ssocsi,United Kingdom,Europe,18-24,Alone,0,1,Volunteering,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,8,0,Yes,High Cost
tour_idh2nhvv20,United Kingdom,Europe,45-64,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,0,Yes,Normal Cost
tour_idej88i9yi,Spain,Europe,25-44,Alone,0,1,Other,Wildlife Tourism,Others,Independent Tour,No,No,No,No,No,No,No,10,0,No,Normal Cost
tour_idcz8ysh24,United Kingdom,Europe,25-44,With children,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,20,0,Yes,Low Cost
tour_idkdu68wds,Nigeria,Africa,25-44,Alone,0,1,Meetings and Conference,Mountain Climbing,Others,Independent Tour,No,No,No,No,No,No,No,20,3,Yes,Normal Cost
tour_id8mmdp4k5,Norway,Europe,25-44,Friends/Relatives,3,4,Meetings and Conference,Diving and Sport Fishing,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,5,0,Yes,High Cost
tour_idcd2qfj1q,Italy,Europe,65+,Friends/Relatives,2,5,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,No,12,4,Yes,High Cost
tour_idltr9jnca,South Africa,Africa,25-44,Spouse and Children,2,2,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,No,Yes,No,Yes,No,No,No,2,12,Yes,Higher Cost
tour_idm10x2aws,Germany,Europe,45-64,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,No,No,No,4,10,Yes,Higher Cost
tour_idvhefx3w4,Canada,North America,25-44,With children,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,6,0,No,Low Cost
tour_idcmpjswq2,Zambia,Africa,25-44,Alone,0,1,Business,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,No,Normal Cost
tour_idujrou662,Kenya,Africa,45-64,Friends/Relatives,1,8,Meetings and Conference,Conference Tourism,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,0,3,No,Normal Cost
tour_idiqllafs3,Switzerland,Europe,45-64,Spouse,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,14,0,Yes,Higher Cost
tour_id7cqf2ffp,Korea,Asia,25-44,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,5,4,Yes,High Cost
tour_idfh8iwww9,United States of America,North America,25-44,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,10,0,Yes,High Cost
tour_idl1dh1dh5,Rwanda,Africa,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,1,0,No,Lower Cost
tour_idwqw7drjb,India,Asia,45-64,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idpx5fn406,Drc,Africa,25-44,Alone,1,0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idh8b4utn6,United States of America,North America,65+,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost
tour_ida49lgjru,Denmark,Europe,18-24,Alone,1,0,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,3,5,Yes,Low Cost
tour_idj29wl8n9,South Africa,Africa,45-64,Spouse and Children,1,3,Visiting Friends and Relatives,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,10,0,No,Lower Cost
tour_idnt3vttz2,Kenya,Africa,25-44,With children,49,44,Leisure and Holidays,Wildlife Tourism,Others,Independent Tour,No,No,No,No,No,No,No,4,0,Yes,Higher Cost
tour_idck0u81vr,Cyprus,Europe,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,Tanzania Mission Abroad,Independent Tour,No,No,No,No,No,No,No,8,0,Yes,Normal Cost
tour_id9y3mnv5m,Kenya,Africa,45-64,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,Others,Independent Tour,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idt2ci79zh,United Kingdom,Europe,45-64,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,100,0,No,Normal Cost
tour_idbw7q3yml,Italy,Europe,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,High Cost
tour_id9iq9t5ag,United States of America,North America,25-44,Friends/Relatives,1,3,Leisure and Holidays,Conference Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,No,No,7,0,Yes,High Cost
tour_idmxpiks34,Austria,Europe,45-64,Friends/Relatives,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,3,0,Yes,High Cost
tour_idbxjct58u,Italy,Europe,25-44,Spouse,1,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,0,Yes,High Cost
tour_idvhf0fd92,United States of America,North America,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,Normal Cost
tour_id6ilgl9pa,Australia,Australia,25-44,Alone,1,0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,9,0,Yes,Higher Cost
tour_idxkb0izpd,France,Europe,45-64,Spouse and Children,4,1,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,11,Yes,Higher Cost
tour_id8cowbcge,Spain,Europe,25-44,Alone,0,1,Business,Diving and Sport Fishing,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Low Cost
tour_idtm7nsjbx,Zimbabwe,Africa,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Low Cost
tour_idq2foi7rp,United States of America,North America,65+,With children,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,0,Yes,Higher Cost
tour_idr0ws3l85,United States of America,North America,25-44,Spouse,2,0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,9,6,Yes,High Cost
tour_id1qqc5bsu,Netherlands,Europe,25-44,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,60,0,Yes,Normal Cost
tour_idt2nww7qv,United States of America,North America,18-24,Friends/Relatives,0,2,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,0,Yes,Normal Cost
tour_id8zq6qwtu,Germany,Europe,45-64,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,5,Yes,Higher Cost
tour_id9q500s86,Italy,Europe,45-64,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,6,0,No,High Cost
tour_id51oh8jjx,South Africa,Africa,45-64,Alone,0,1,Business,Diving and Sport Fishing,Others,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,4,0,No,High Cost
tour_idduynd3rf,France,Europe,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,13,0,Yes,High Cost
tour_idjgqgc0hk,Canada,North America,25-44,Alone,1,0,Volunteering,Cultural Tourism,Others,Independent Tour,No,No,No,No,No,No,No,13,0,Yes,Lower Cost
tour_ido0jhiaz1,United States of America,North America,25-44,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,14,0,No,Lower Cost
tour_idw5f5ooyx,Zimbabwe,Africa,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_id9ovb7ip3,Kuwait,Asia,45-64,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Normal Cost
tour_idax3hcult,Zambia,Africa,25-44,Friends/Relatives,2,1,Business,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_id68hojsj1,Rwanda,Africa,18-24,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,No,Normal Cost
tour_idarki97ci,Zambia,Africa,25-44,Alone,0,1,Business,Beach Tourism,Others,Independent Tour,No,No,No,No,No,No,No,8,0,No,Lower Cost
tour_idgqvb6ek8,United States of America,North America,65+,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Yes,Higher Cost
tour_id95fjz9vr,Belgium,Europe,45-64,With children,0,2,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,7,0,Yes,High Cost
tour_idwn6mun5y,Zambia,Africa,25-44,Alone,0,1,Business,Mountain Climbing,Others,Independent Tour,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idd7gew8gn,Germany,Europe,65+,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,0,No,Normal Cost
tour_idnafjlgci,Brazil,South America,25-44,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,0,Yes,High Cost
tour_iduqdtptt5,United Kingdom,Europe,18-24,Friends/Relatives,1,2,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,42,0,No,High Cost
